year,region,journeys_total,journeys_within,journeys_interregional,series_break
2003,London,505346458,253260736,252085722,FALSE
2004,London,502013645,243866346,258147299,FALSE
2005,London,502774512,237557597,265216915,FALSE
2006,London,502424737,231426825,270997912,FALSE
2007,London,641492614,342753383,298739231,TRUE
2008,London,653099513,332902112,320197401,FALSE
2009,London,639347588,318625180,320722408,FALSE
2010,London,632228180,316935475,315292705,FALSE
2011,London,706259248,371713406,334545843,FALSE
2012,London,752225508,403750534,348474974,FALSE
2013,London,787471288,429327496,358143792,FALSE
2014,London,834527712,464320512,370207200,FALSE
2015,London,878042345,492211989,385830356,FALSE
2016,London,934587926,537369482,397218444,FALSE
2017,London,930458850,526064940,404393910,FALSE
2018,London,926517428,518911364,407606064,FALSE
2019,London,959746065,539157867,420588198,FALSE
2020,London,940480157,534959837,405520320,FALSE
2021,London,214470159,148709693,65760466,FALSE
2022,London,532324805,322224963,210099842,FALSE
2023,London,800499045,497429009,303070036,TRUE
2024,London,951909216,607021080,344888136,FALSE
2025,London,1008669424,638183452,370485972,FALSE
1996,North East,7564665,3268486,4296179,FALSE
1997,North East,8032264,3504229,4528035,FALSE
1998,North East,8662088,3740695,4921393,FALSE
1999,North East,9122453,3864677,5257776,FALSE
2000,North East,9577186,4049227,5527959,FALSE
2001,North East,8843394,3831092,5012302,FALSE
2002,North East,9246165,3721162,5525003,FALSE
2003,North East,8987980,3406101,5581879,FALSE
2004,North East,10074282,3973849,6100433,FALSE
2005,North East,10619257,4277186,6342071,FALSE
2006,North East,11271258,4576883,6694375,FALSE
2007,North East,11610566,4633854,6976712,FALSE
2008,North East,12151918,4817070,7334848,FALSE
2009,North East,13022051,5371128,7650923,TRUE
2010,North East,13140246,5437154,7703092,FALSE
2011,North East,13751732,5750163,8001569,FALSE
2012,North East,14181280,5847862,8333418,FALSE
2013,North East,14252085,5806939,8445146,FALSE
2014,North East,14775644,5948018,8827626,FALSE
2015,North East,14985066,5700176,9284890,FALSE
2016,North East,15178980,5689336,9489644,FALSE
2017,North East,15580022,5797116,9782906,FALSE
2018,North East,15984156,5801140,10183016,FALSE
2019,North East,16256412,5868892,10387520,FALSE
2020,North East,16164492,6073688,10090804,FALSE
2021,North East,3171094,1418354,1752740,FALSE
2022,North East,13175666,5188670,7986996,FALSE
2023,North East,15239028,5848762,9390266,TRUE
2024,North East,16755340,6667782,10087558,FALSE
2025,North East,19090870,7805190,11285680,FALSE
1996,North West,39849928,25225996,14623932,FALSE
1997,North West,44121543,28828011,15293532,FALSE
1998,North West,49199460,32476736,16722724,FALSE
1999,North West,50009344,32612553,17396791,FALSE
2000,North West,52881538,34868683,18012855,FALSE
2001,North West,51924157,34825454,17098703,FALSE
2002,North West,51729669,33982779,17746890,FALSE
2003,North West,51021748,33668902,17352846,FALSE
2004,North West,55503124,37266380,18236744,FALSE
2005,North West,58678278,40481885,18196393,FALSE
2006,North West,64043925,43958664,20085261,FALSE
2007,North West,67166988,45494004,21672984,FALSE
2008,North West,71662673,48649555,23013118,FALSE
2009,North West,105818749,81371299,24447450,TRUE
2010,North West,106097717,79607628,26490089,FALSE
2011,North West,111556187,82938576,28617611,FALSE
2012,North West,115181700,84961542,30220158,FALSE
2013,North West,113920859,82708893,31211966,FALSE
2014,North West,121740968,89440218,32300750,FALSE
2015,North West,124877514,90562940,34314574,FALSE
2016,North West,128005142,92051000,35954142,FALSE
2017,North West,133965694,95827606,38138088,FALSE
2018,North West,134409828,95473354,38936474,FALSE
2019,North West,136844639,96808419,40036220,TRUE
2020,North West,145412752,105367782,40044970,TRUE
2021,North West,30624420,24370802,6253618,FALSE
2022,North West,94038809,68103123,25935686,FALSE
2023,North West,106885391,75521103,31364288,TRUE
2024,North West,118568324,82581132,35987192,FALSE
2025,North West,131415264,91891918,39523346,FALSE
1996,Scotland,48943535,44376385,4567150,FALSE
1997,Scotland,49752224,45215942,4536282,FALSE
1998,Scotland,53057461,48355073,4702388,FALSE
1999,Scotland,55053537,49864850,5188687,FALSE
2000,Scotland,57613634,52137124,5476510,FALSE
2001,Scotland,57269078,52296516,4972562,FALSE
2002,Scotland,55651493,50371815,5279678,FALSE
2003,Scotland,54800215,49937775,4862440,FALSE
2004,Scotland,58394571,53379653,5014918,FALSE
2005,Scotland,63689596,58802375,4887221,FALSE
2006,Scotland,69331002,64114600,5216402,FALSE
2007,Scotland,72555907,66998025,5557882,FALSE
2008,Scotland,75635600,69828187,5807413,FALSE
2009,Scotland,79320592,73191563,6129029,TRUE
2010,Scotland,79794481,73153299,6641182,FALSE
2011,Scotland,83198414,75779630,7418784,FALSE
2012,Scotland,87139836,79541324,7598512,FALSE
2013,Scotland,89628340,81883480,7744860,FALSE
2014,Scotland,90669197,82690739,7978458,TRUE
2015,Scotland,96073134,87403882,8669252,FALSE
2016,Scotland,97561975,89155545,8406430,FALSE
2017,Scotland,98757519,89708523,9048996,FALSE
2018,Scotland,101950609,92332609,9618000,FALSE
2019,Scotland,101949542,92027938,9921604,FALSE
2020,Scotland,99559139,89749125,9810014,FALSE
2021,Scotland,15565829,14209867,1355962,FALSE
2022,Scotland,52519149,45097253,7421896,FALSE
2023,Scotland,69404620,60253986,9150634,TRUE
2024,Scotland,84871106,74565006,10306100,FALSE
2025,Scotland,89440324,78032184,11408140,FALSE
1996,South East,145829758,44776086,101053672,FALSE
1997,South East,154514925,45785639,108729286,FALSE
1998,South East,164205771,47009074,117196697,FALSE
1999,South East,172686683,49618825,123067858,FALSE
2000,South East,185580054,54326727,131253327,FALSE
2001,South East,191179688,55062492,136117196,FALSE
2002,South East,192069374,56204646,135864728,FALSE
2003,South East,196184950,57356631,138828319,FALSE
2004,South East,201152547,59963122,141189425,FALSE
2005,South East,208336063,62136221,146199842,FALSE
2006,South East,214374380,64801310,149573070,FALSE
2007,South East,234337417,68200097,166137320,TRUE
2008,South East,254273555,74806317,179467238,FALSE
2009,South East,257516670,76616616,180900054,FALSE
2010,South East,253373152,74604053,178769099,FALSE
2011,South East,266579457,76697093,189882364,FALSE
2012,South East,276831033,78586823,198244210,FALSE
2013,South East,281924150,79185814,202738336,FALSE
2014,South East,289112859,80685673,208427186,FALSE
2015,South East,298550758,82681476,215869282,FALSE
2016,South East,303516968,83919268,219597700,FALSE
2017,South East,300218489,79460847,220757642,FALSE
2018,South East,303821584,82217954,221603630,FALSE
2019,South East,314277724,85301038,228976686,FALSE
2020,South East,306098293,84374569,221723724,FALSE
2021,South East,62181472,26691428,35490044,FALSE
2022,South East,173127364,61300806,111826558,FALSE
2023,South East,228740191,68522497,160217694,TRUE
2024,South East,255307700,73213012,182094688,FALSE
2025,South East,279285698,81602202,197683496,FALSE
1996,South West,21731543,9054277,12677266,FALSE
1997,South West,22717462,9503454,13214008,FALSE
1998,South West,24334538,10045265,14289273,FALSE
1999,South West,25005499,9991688,15013811,FALSE
2000,South West,26189477,10517611,15671866,FALSE
2001,South West,26260348,10367350,15892998,FALSE
2002,South West,27051883,10781628,16270255,FALSE
2003,South West,28712360,11619780,17092580,FALSE
2004,South West,29969184,12354934,17614250,FALSE
2005,South West,30804328,12964660,17839668,FALSE
2006,South West,32069914,13708700,18361214,FALSE
2007,South West,34434758,14948989,19485769,FALSE
2008,South West,37028597,16384051,20644546,FALSE
2009,South West,39877429,18121554,21755875,FALSE
2010,South West,40180775,18424294,21756481,FALSE
2011,South West,43175168,20273245,22901923,FALSE
2012,South West,45977753,22027541,23950212,FALSE
2013,South West,46607707,22703897,23903810,FALSE
2014,South West,47447847,23451773,23996074,FALSE
2015,South West,49458198,24824500,24633698,FALSE
2016,South West,50640181,25345987,25294194,FALSE
2017,South West,52432117,26602381,25829736,FALSE
2018,South West,52193056,26374984,25818072,FALSE
2019,South West,52139763,26222377,25917386,FALSE
2020,South West,52160970,26543774,25617196,FALSE
2021,South West,12131011,7621919,4509092,FALSE
2022,South West,36962842,19794048,17168794,FALSE
2023,South West,46590245,23486755,23103490,TRUE
2024,South West,50890192,25361122,25529070,FALSE
2025,South West,55657870,27940802,27717068,FALSE
1996,Wales,14486722,9389818,5096904,FALSE
1997,Wales,14881945,9552989,5328956,FALSE
1998,Wales,15347229,9747094,5600135,FALSE
1999,Wales,15360369,9673504,5686865,FALSE
2000,Wales,16609401,10765906,5843495,FALSE
2001,Wales,16993759,11203280,5790479,FALSE
2002,Wales,18141092,12103796,6037296,FALSE
2003,Wales,18689250,12425887,6263363,FALSE
2004,Wales,19538432,12862984,6675448,FALSE
2005,Wales,19889839,13156083,6733756,FALSE
2006,Wales,20428335,13490983,6937352,FALSE
2007,Wales,21874694,14595590,7279104,FALSE
2008,Wales,23881547,16236399,7645148,FALSE
2009,Wales,25324766,17384885,7939881,FALSE
2010,Wales,26044834,17999862,8044972,FALSE
2011,Wales,27274385,18684870,8589515,FALSE
2012,Wales,28097882,19037662,9060220,FALSE
2013,Wales,28405149,19231983,9173166,FALSE
2014,Wales,28845749,19791671,9054078,FALSE
2015,Wales,29325948,19972064,9353884,FALSE
2016,Wales,30312694,20706000,9606694,FALSE
2017,Wales,30450701,21218129,9232572,FALSE
2018,Wales,31030148,21491852,9538296,FALSE
2019,Wales,31091437,21632655,9458782,FALSE
2020,Wales,29911840,20504360,9407480,FALSE
2021,Wales,5135653,3542873,1592780,FALSE
2022,Wales,17706024,11325802,6380222,FALSE
2023,Wales,23481069,14815945,8665124,TRUE
2024,Wales,26663188,16708600,9954588,FALSE
2025,Wales,30027094,19425026,10602068,FALSE
1996,West Midlands,23000869,12262731,10738138,FALSE
1997,West Midlands,24986089,13594049,11392040,FALSE
1998,West Midlands,27000330,14499179,12501151,FALSE
1999,West Midlands,28794247,15260386,13533861,FALSE
2000,West Midlands,29757455,15513014,14244441,FALSE
2001,West Midlands,29264100,15164783,14099317,FALSE
2002,West Midlands,30433752,15540505,14893247,FALSE
2003,West Midlands,31435689,16131035,15304654,FALSE
2004,West Midlands,33261507,17364758,15896749,FALSE
2005,West Midlands,34468553,18230743,16237810,FALSE
